# Hypertri Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 95 | 135.661 us | `cargo-fuzz` | `hyperreal_representations` | `seed[355]` |
| 96 | 135.641 us | `cargo-fuzz` | `hyperreal_representations` | `seed[901]` |
| 97 | 135.591 us | `cargo-fuzz` | `hyperreal_representations` | `seed[748]` |
| 98 | 135.471 us | `cargo-fuzz` | `hyperreal_representations` | `seed[472]` |
| 99 | 135.471 us | `cargo-fuzz` | `hyperreal_representations` | `seed[487]` |
| 100 | 134.970 us | `cargo-fuzz` | `hyperreal_representations` | `seed[733]` |
| 101 | 134.930 us | `cargo-fuzz` | `hyperreal_representations` | `seed[766]` |
| 102 | 134.871 us | `cargo-fuzz` | `hyperreal_representations` | `seed[607]` |
| 103 | 134.641 us | `cargo-fuzz` | `hyperreal_representations` | `seed[454]` |
| 104 | 134.571 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1027]` |
| 105 | 134.540 us | `cargo-fuzz` | `hyperreal_representations` | `seed[763]` |
| 106 | 134.510 us | `cargo-fuzz` | `hyperreal_representations` | `seed[784]` |
| 107 | 134.501 us | `cargo-fuzz` | `hyperreal_representations` | `seed[604]` |
| 108 | 134.500 us | `cargo-fuzz` | `hyperreal_representations` | `seed[676]` |
| 109 | 134.471 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4225]` |
| 110 | 134.461 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4423]` |
| 111 | 134.430 us | `cargo-fuzz` | `hyperreal_representations` | `seed[802]` |
| 112 | 134.411 us | `cargo-fuzz` | `hyperreal_representations` | `seed[481]` |
| 113 | 134.081 us | `cargo-fuzz` | `hyperreal_representations` | `seed[616]` |
| 114 | 133.961 us | `cargo-fuzz` | `hyperreal_representations` | `seed[883]` |
| 115 | 133.930 us | `cargo-fuzz` | `hyperreal_representations` | `seed[511]` |
| 116 | 133.841 us | `cargo-fuzz` | `hyperreal_representations` | `seed[628]` |
| 117 | 133.790 us | `cargo-fuzz` | `hyperreal_representations` | `seed[2068]` |
| 118 | 133.561 us | `cargo-fuzz` | `hyperreal_representations` | `seed[661]` |
| 119 | 133.411 us | `cargo-fuzz` | `hyperreal_representations` | `seed[988]` |
| 120 | 133.331 us | `cargo-fuzz` | `hyperreal_representations` | `seed[904]` |
| 121 | 133.241 us | `cargo-fuzz` | `hyperreal_representations` | `seed[772]` |
| 122 | 133.191 us | `cargo-fuzz` | `hyperreal_representations` | `seed[439]` |
| 123 | 132.951 us | `cargo-fuzz` | `hyperreal_representations` | `seed[2107]` |
| 124 | 132.441 us | `cargo-fuzz` | `hyperreal_representations` | `seed[577]` |
| 125 | 132.311 us | `cargo-fuzz` | `hyperreal_representations` | `seed[967]` |
| 126 | 132.261 us | `cargo-fuzz` | `hyperreal_representations` | `seed[964]` |
| 127 | 132.251 us | `cargo-fuzz` | `hyperreal_representations` | `seed[358]` |
| 128 | 132.191 us | `cargo-fuzz` | `hyperreal_representations` | `seed[430]` |
| 129 | 132.191 us | `cargo-fuzz` | `hyperreal_representations` | `seed[562]` |
| 130 | 131.871 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6253]` |
| 131 | 131.431 us | `cargo-fuzz` | `hyperreal_representations` | `seed[715]` |
| 132 | 131.301 us | `cargo-fuzz` | `hyperreal_representations` | `seed[997]` |
| 133 | 131.151 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1]` |
| 134 | 131.141 us | `cargo-fuzz` | `hyperreal_representations` | `seed[610]` |
| 135 | 131.031 us | `cargo-fuzz` | `hyperreal_representations` | `seed[757]` |
| 136 | 130.981 us | `cargo-fuzz` | `hyperreal_representations` | `seed[973]` |
| 137 | 130.961 us | `cargo-fuzz` | `hyperreal_representations` | `seed[907]` |
| 138 | 130.841 us | `cargo-fuzz` | `hyperreal_representations` | `seed[9295]` |
| 139 | 130.641 us | `cargo-fuzz` | `hyperreal_representations` | `seed[601]` |
| 140 | 130.612 us | `cargo-fuzz` | `hyperreal_representations` | `seed[5812]` |
| 141 | 130.532 us | `cargo-fuzz` | `hyperreal_representations` | `seed[535]` |
| 142 | 130.501 us | `cargo-fuzz` | `hyperreal_representations` | `seed[830]` |
| 143 | 130.301 us | `cargo-fuzz` | `hyperreal_representations` | `seed[658]` |
| 144 | 130.071 us | `cargo-fuzz` | `hyperreal_representations` | `seed[385]` |
| 145 | 130.031 us | `cargo-fuzz` | `hyperreal_representations` | `seed[514]` |
| 146 | 130.021 us | `cargo-fuzz` | `hyperreal_representations` | `seed[571]` |
| 147 | 129.952 us | `cargo-fuzz` | `hyperreal_representations` | `seed[379]` |
| 148 | 129.841 us | `cargo-fuzz` | `hyperreal_representations` | `seed[502]` |
| 149 | 129.801 us | `cargo-fuzz` | `hyperreal_representations` | `seed[700]` |
| 150 | 129.561 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8095]` |
| 151 | 129.371 us | `cargo-fuzz` | `hyperreal_representations` | `seed[781]` |
| 152 | 129.291 us | `cargo-fuzz` | `hyperreal_representations` | `seed[382]` |
| 153 | 129.281 us | `cargo-fuzz` | `hyperreal_representations` | `seed[724]` |
| 154 | 129.241 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8518]` |
| 155 | 129.121 us | `cargo-fuzz` | `hyperreal_representations` | `seed[814]` |
| 156 | 128.991 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1621]` |
| 157 | 128.912 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1090]` |
| 158 | 128.581 us | `cargo-fuzz` | `hyperreal_representations` | `seed[649]` |
| 159 | 128.561 us | `cargo-fuzz` | `hyperreal_representations` | `seed[7072]` |
| 160 | 128.551 us | `cargo-fuzz` | `hyperreal_representations` | `seed[931]` |
| 161 | 128.251 us | `cargo-fuzz` | `hyperreal_representations` | `seed[559]` |
| 162 | 128.171 us | `cargo-fuzz` | `hyperreal_representations` | `seed[703]` |
| 163 | 127.762 us | `cargo-fuzz` | `hyperreal_representations` | `seed[643]` |
| 164 | 127.611 us | `cargo-fuzz` | `hyperreal_representations` | `seed[7945]` |
| 165 | 127.472 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1099]` |
| 166 | 127.421 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4420]` |
| 167 | 127.411 us | `cargo-fuzz` | `hyperreal_representations` | `seed[697]` |
| 168 | 127.331 us | `cargo-fuzz` | `hyperreal_representations` | `seed[811]` |
| 169 | 127.241 us | `cargo-fuzz` | `hyperreal_representations` | `seed[856]` |
| 170 | 127.211 us | `cargo-fuzz` | `hyperreal_representations` | `seed[880]` |
| 171 | 127.151 us | `cargo-fuzz` | `hyperreal_representations` | `seed[727]` |
| 172 | 126.961 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3406]` |
| 173 | 126.911 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8284]` |
| 174 | 126.902 us | `cargo-fuzz` | `hyperreal_representations` | `seed[7]` |
| 175 | 126.801 us | `cargo-fuzz` | `hyperreal_representations` | `seed[508]` |
| 176 | 126.781 us | `cargo-fuzz` | `hyperreal_representations` | `seed[979]` |
| 177 | 126.432 us | `cargo-fuzz` | `hyperreal_representations` | `seed[9292]` |
| 178 | 126.431 us | `cargo-fuzz` | `hyperreal_representations` | `seed[976]` |
| 179 | 126.321 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6331]` |
| 180 | 126.251 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1084]` |
| 181 | 126.172 us | `cargo-fuzz` | `hyperreal_representations` | `seed[352]` |
| 182 | 126.051 us | `cargo-fuzz` | `hyperreal_representations` | `seed[739]` |
| 183 | 126.032 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8806]` |
| 184 | 125.921 us | `cargo-fuzz` | `hyperreal_representations` | `seed[934]` |
| 185 | 125.571 us | `cargo-fuzz` | `hyperreal_representations` | `seed[694]` |
| 186 | 125.532 us | `cargo-fuzz` | `hyperreal_representations` | `seed[373]` |
| 187 | 125.531 us | `cargo-fuzz` | `hyperreal_representations` | `seed[550]` |
| 188 | 125.522 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6256]` |
| 189 | 125.492 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1087]` |
| 190 | 125.361 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1216]` |
| 191 | 125.012 us | `cargo-fuzz` | `hyperreal_representations` | `seed[418]` |
| 192 | 124.771 us | `cargo-fuzz` | `hyperreal_representations` | `seed[568]` |
| 193 | 124.702 us | `cargo-fuzz` | `hyperreal_representations` | `seed[982]` |
| 194 | 124.582 us | `cargo-fuzz` | `hyperreal_representations` | `seed[790]` |
| 195 | 124.412 us | `cargo-fuzz` | `hyperreal_representations` | `seed[664]` |
| 196 | 124.272 us | `cargo-fuzz` | `hyperreal_representations` | `seed[7948]` |
| 197 | 124.211 us | `cargo-fuzz` | `hyperreal_representations` | `seed[631]` |
| 198 | 124.072 us | `cargo-fuzz` | `hyperreal_representations` | `seed[391]` |
| 199 | 123.982 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8275]` |
| 200 | 123.881 us | `cargo-fuzz` | `hyperreal_representations` | `seed[908]` |
| 201 | 123.842 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6508]` |
| 202 | 123.771 us | `cargo-fuzz` | `hyperreal_representations` | `seed[670]` |
| 203 | 123.681 us | `cargo-fuzz` | `hyperreal_representations` | `seed[595]` |
| 204 | 123.661 us | `cargo-fuzz` | `hyperreal_representations` | `seed[589]` |
| 205 | 123.601 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1615]` |
| 206 | 123.512 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1561]` |
| 207 | 123.472 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6334]` |
| 208 | 123.471 us | `cargo-fuzz` | `hyperreal_representations` | `seed[433]` |
| 209 | 123.422 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3136]` |
| 210 | 123.371 us | `cargo-fuzz` | `hyperreal_representations` | `seed[9775]` |
| 211 | 123.341 us | `cargo-fuzz` | `hyperreal_representations` | `seed[538]` |
| 212 | 123.222 us | `cargo-fuzz` | `hyperreal_representations` | `seed[760]` |
| 213 | 123.221 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6250]` |
| 214 | 123.062 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3376]` |
| 215 | 123.061 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8278]` |
| 216 | 123.051 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6202]` |
| 217 | 123.042 us | `cargo-fuzz` | `hyperreal_representations` | `seed[565]` |
| 218 | 122.682 us | `cargo-fuzz` | `hyperreal_representations` | `seed[688]` |
| 219 | 122.461 us | `cargo-fuzz` | `hyperreal_representations` | `seed[505]` |
| 220 | 122.162 us | `cargo-fuzz` | `hyperreal_representations` | `seed[475]` |
| 221 | 122.151 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4810]` |
| 222 | 121.921 us | `cargo-fuzz` | `hyperreal_representations` | `seed[361]` |
| 223 | 121.681 us | `cargo-fuzz` | `hyperreal_representations` | `seed[742]` |
| 224 | 121.632 us | `cargo-fuzz` | `hyperreal_representations` | `seed[910]` |
| 225 | 121.611 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8272]` |
| 226 | 121.542 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3175]` |
| 227 | 121.542 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4366]` |
| 228 | 121.471 us | `cargo-fuzz` | `hyperreal_representations` | `seed[922]` |
| 229 | 121.362 us | `cargo-fuzz` | `hyperreal_representations` | `seed[2440]` |
| 230 | 121.332 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1624]` |
| 231 | 121.122 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1141]` |
| 232 | 121.092 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6706]` |
| 233 | 121.002 us | `cargo-fuzz` | `hyperreal_representations` | `seed[148]` |
| 234 | 120.982 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3037]` |
| 235 | 120.882 us | `cargo-fuzz` | `hyperreal_representations` | `seed[586]` |
| 236 | 120.772 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8092]` |
| 237 | 120.702 us | `cargo-fuzz` | `hyperreal_representations` | `seed[5806]` |
| 238 | 120.632 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3298]` |
| 239 | 120.621 us | `cargo-fuzz` | `hyperreal_representations` | `seed[400]` |
| 240 | 120.442 us | `cargo-fuzz` | `hyperreal_representations` | `seed[2212]` |
| 241 | 120.442 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3004]` |
| 242 | 120.291 us | `cargo-fuzz` | `hyperreal_representations` | `seed[500]` |
| 243 | 120.202 us | `cargo-fuzz` | `hyperreal_representations` | `seed[629]` |
| 244 | 120.162 us | `cargo-fuzz` | `hyperreal_representations` | `seed[647]` |
| 245 | 120.162 us | `cargo-fuzz` | `hyperreal_representations` | `seed[797]` |
| 246 | 120.142 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4687]` |
| 247 | 120.081 us | `cargo-fuzz` | `hyperreal_representations` | `seed[925]` |
| 248 | 120.022 us | `cargo-fuzz` | `topology_invariants` | `seed[3693]` |
| 249 | 119.932 us | `cargo-fuzz` | `hyperreal_representations` | `seed[773]` |
| 250 | 119.922 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8281]` |
| 251 | 119.882 us | `cargo-fuzz` | `hyperreal_representations` | `seed[367]` |
| 252 | 119.802 us | `cargo-fuzz` | `hyperreal_representations` | `seed[652]` |
| 253 | 119.612 us | `cargo-fuzz` | `hyperreal_representations` | `seed[685]` |
| 254 | 119.272 us | `cargo-fuzz` | `hyperreal_representations` | `seed[6505]` |
| 255 | 119.242 us | `cargo-fuzz` | `hyperreal_representations` | `seed[553]` |
